UNITID,INSTNM,ADDR,CITY,STABBR,ZIP
100654,Alabama A & M University,4900 Meridian Street,Normal,AL,35762
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553
100706,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271
100733,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010
100812,Athens State University,300 N Beaty St,Athens,AL,35611
100830,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596
100858,Auburn University,"Auburn, Alabama",Auburn University,AL,36849
100937,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869
101073,Concordia College Alabama,1712 Broad Street,Selma,AL,36701
101116,South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116
101143,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300
101161,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698
101189,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378
101240,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903
101277,New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951
101286,George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234
101295,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000
101301,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808
101365,Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209
101435,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148
101453,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977
101462,J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811
101471,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022
101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265
101499,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426
101505,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098
101514,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671
101541,Judson College,302 Bibb St,Marion,AL,36756
101569,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717
101587,University of West Alabama,Station One,Livingston,AL,35470
101602,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418
101648,Marion Military Institute,1101 Washington St,Marion,AL,36756-3207
101675,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621
101693,University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842
101709,University of Montevallo,Station 6001,Montevallo,AL,35115-6000
101736,Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661
101879,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001
101897,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986
101912,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896
101949,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460
101958,Prince Institute-Southeast,7735 Atlanta Hwy,Montgomery,AL,36117
101994,Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401
102030,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898
102049,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240
102058,Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701
102067,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522
102076,Snead State Community College,102 Elder Street,Boaz,AL,35957-0734
102094,University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002
102234,Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791
102261,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35224-2083
102270,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403
102298,Talladega College,627 W Battle St,Talladega,AL,35160
102313,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,36108-3199
102368,Troy University,University Avenue,Troy,AL,36082-0001
102377,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920
102395,United States Sports Academy,One Academy Drive,Daphne,AL,36526-7055
102429,Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501
102553,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508
102580,Alaska Bible College,248 E Elmwood,Palmer,AK,99645
102614,University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500
102632,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697
102669,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508
102711,AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889
102845,Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508
103361,Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686-0097
103501,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033
103529,University of Alaska System of Higher Education,"910 Yukon Drive, Suite 202 Butrovich Building",Fairbanks,AK,99775-5000
